Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
5,273.7528533935547,0.03079603612422943,0.0329488068819046,0.9752419590950012,0.9743929505348206,1007,23.180682587623597,True
13,282.73748779296875,0.026248984038829803,0.02867696061730385,0.9560074806213379,0.9543421268463135,621,17.30435425043106,True
14,288.4575762067522,0.019025225192308426,0.022805524989962578,0.9599719643592834,0.9587218165397644,452,13.729224562644958,True
11,292.76647513253346,0.006188858766108751,0.007742272689938545,0.9634321928024292,0.9618740081787109,486,14.464571166038514,True
9,293.0445033482143,0.03189240023493767,0.03394642472267151,0.9653863906860352,0.9628903269767761,568,16.166201090812685,True
12,297.1150796072824,0.01535786408931017,0.01783464476466179,0.967596173286438,0.9662911295890808,456,13.819460515181223,True
17,297.29801286969865,0.05997885763645172,0.06252424418926239,0.9461849927902222,0.9544875025749207,779,20.63033705552419,True
10,299.7142007010324,0.024628780782222748,0.025805989280343056,0.9691784977912903,0.9693753123283386,1068,23.185690188407897,True
1,301.31451633998324,0.024577368050813675,0.03364722803235054,0.9471830129623413,0.9645627737045288,394,12.704879868030549,True
18,303.24295697893416,0.031433455646038055,0.035015352070331573,0.9697139859199524,0.9687221646308899,576,16.35527102549871,True
2,308.09883553641185,0.030866174027323723,0.033386580646038055,0.9603345990180969,0.9597395658493042,691,18.860752630233765,True
19,309.3955274309431,0.05026997625827789,0.052344776690006256,0.968515932559967,0.9704594016075134,375,12.08360237677892,True
6,311.12260872977123,0.017182333394885063,0.020021529868245125,0.9420448541641235,0.949992299079895,591,16.640116981665294,True
3,317.3069610595703,0.01744817942380905,0.019365914165973663,0.9624799489974976,0.9612138271331787,229,9.046657196680705,True
15,318.46534729003906,0.005449455231428146,0.006894707214087248,0.9723645448684692,0.973186194896698,669,18.305390095710756,True
4,321.009268624442,0.02839227393269539,0.030859583988785744,0.964806854724884,0.9652553200721741,406,12.770602083206176,True
7,325.50025721958707,0.011021560057997704,0.012555418536067009,0.9432269334793091,0.9343652129173279,380,12.205008987585703,True
8,327.33512224469865,0.03336682915687561,0.035520341247320175,0.9633117318153381,0.9626702666282654,346,11.536637071768443,True
20,329.97906276157926,0.026599891483783722,0.028847021982073784,0.9646262526512146,0.9628919959068298,765,20.236296943823497,True
16,369.4018859863281,0.018796542659401894,0.022007768973708153,0.932592511177063,0.9338027238845825,886,22.901811325550078,True
