Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
13,195.60750906808036,0.05355236306786537,0.054340388625860214,0.8904006481170654,0.8793854713439941,195,10.870039904117585,True
15,216.2747344970703,0.059467144310474396,0.05989425629377365,0.9225209951400757,0.9079928398132324,361,15.445992946624756,True
1,217.34322248186385,0.006640658713877201,0.007913243025541306,0.844001829624176,0.8169432878494263,209,11.211680734157563,True
14,221.359379359654,0.014808566309511662,0.01850590482354164,0.794931173324585,0.8119366765022278,1087,30.31793033281962,True
19,235.24036952427454,0.02149038575589657,0.022653494030237198,0.9530496001243591,0.9540329575538635,228,11.836199049154917,True
8,269.5320739746094,0.06743296980857849,0.06802049279212952,0.9442696571350098,0.9392558336257935,175,10.356845100720724,True
7,273.23878479003906,0.015343955717980862,0.018101347610354424,0.9227555990219116,0.9169237017631531,120,8.609992508093516,True
5,279.70870099748885,0.055923931300640106,0.05656139552593231,0.8857554793357849,0.8592149019241333,110,8.32748255332311,True
12,284.74300057547435,0.04704634100198746,0.04769117757678032,0.9161142706871033,0.9073471426963806,167,10.140465251604716,True
4,290.3960702078683,0.0653991848230362,0.06592343002557755,0.951443612575531,0.9458242058753967,107,8.193113470077515,True
2,292.2426103864397,0.04679349809885025,0.04761084169149399,0.9062467813491821,0.9358202219009399,85,7.637692566712698,True
9,295.4303218296596,0.0776452124118805,0.07823771983385086,0.946902334690094,0.9383625984191895,101,8.319271854559581,True
17,295.6688777378627,0.07419252395629883,0.07510371506214142,0.8884472846984863,0.8907048106193542,521,19.865168849627178,True
10,300.75746154785156,0.07272618263959885,0.07336074858903885,0.9480536580085754,0.9478263854980469,261,12.713559917608897,True
18,309.8319353376116,0.09376730024814606,0.09440439194440842,0.9514198303222656,0.958202600479126,101,8.309020268917084,True
11,310.2209167480469,0.02827700972557068,0.030012212693691254,0.9507032036781311,0.945350706577301,111,8.616955097516378,True
20,319.8772757393973,0.008804796263575554,0.010532825253903866,0.9037655591964722,0.8777464628219604,129,9.073252363999684,True
3,336.1005183628627,0.0700327455997467,0.07044458389282227,0.9445874691009521,0.9379753470420837,105,8.144438195228577,True
6,342.9579838344029,0.015634693205356598,0.017890937626361847,0.8743278980255127,0.8846974968910217,722,24.59491621653239,True
16,478.9315294538225,0.07878235727548599,0.07948875427246094,0.8934093117713928,0.9124049544334412,201,11.054368325074513,True
