Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
16,14.697083473205566,0.022685581818223,0.025086982175707817,0.6504013538360596,0.6491712927818298,99,4.567047087351481,True
5,16.15335464477539,0.12398069351911545,0.12533318996429443,0.6521283984184265,0.641765296459198,41,3.7319652517636617,True
14,16.620258331298828,0.03396762162446976,0.03862643241882324,0.6538029313087463,0.6592663526535034,84,4.419651432832082,True
10,17.1612606048584,0.02108602784574032,0.025843944400548935,0.7755270600318909,0.7570475935935974,325,8.11885806719462,True
20,19.293394088745117,0.0395389050245285,0.04334443435072899,0.6405245661735535,0.6301775574684143,101,4.706505338350932,True
3,20.07008934020996,0.03570505976676941,0.03976903855800629,0.6800960898399353,0.6656675934791565,69,2.8757698933283486,True
17,20.11862564086914,0.02503746934235096,0.02733508124947548,0.674657940864563,0.6567189693450928,195,6.05933880408605,True
12,20.128177642822266,0.022866234183311462,0.02609974518418312,0.6032889485359192,0.5932078957557678,64,4.076158698399862,True
9,21.171674728393555,0.03720863536000252,0.04137835651636124,0.6460555195808411,0.6230391263961792,71,4.187570230166117,True
18,21.877840042114258,0.23603302240371704,0.23672132194042206,0.6330361366271973,0.6205206513404846,26,3.515555679798126,True
11,22.226308822631836,0.029276054352521896,0.03397970646619797,0.6837539076805115,0.6383522152900696,102,4.635325102011363,True
1,23.528146743774414,0.018655790016055107,0.023951223120093346,0.7572115063667297,0.7352913022041321,311,4.406106050809225,True
2,23.671785354614258,0.0590331107378006,0.061156246811151505,0.7275263071060181,0.7076585292816162,93,2.5028115550676984,True
13,23.89288330078125,0.14633841812610626,0.147613525390625,0.6306686997413635,0.6317752003669739,41,3.7393278956413267,True
7,25.77515983581543,0.09864551573991776,0.10029833763837814,0.7038735151290894,0.6941477656364441,68,4.119633169968923,True
6,26.33420181274414,0.1065467968583107,0.10794336348772049,0.684657871723175,0.6764578223228455,70,4.1782068053881325,True
15,26.698604583740234,0.05544893071055412,0.058091312646865845,0.6876177191734314,0.6822608709335327,86,4.431774139404297,True
19,27.57498550415039,0.05563024431467056,0.05876121670007706,0.6025369167327881,0.5973712801933289,89,4.464912267525991,True
8,28.520578384399414,0.0667281299829483,0.06908883154392242,0.6343412399291992,0.6276668906211853,96,4.586019198099772,True
4,33.29029846191406,0.07074526697397232,0.07262960821390152,0.6985634565353394,0.6721999645233154,98,4.604204487800598,True
