Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
14,190.58714294433594,0.03555987402796745,0.037811100482940674,0.957374632358551,0.9494982361793518,494,22.698811384042106,True
18,193.2563018798828,0.005471610464155674,0.006841117050498724,0.977929413318634,0.9761649966239929,695,29.356222240130105,True
6,195.58309427897134,0.005911705549806356,0.0074227373115718365,0.9741836190223694,0.9722142219543457,461,17.618610362211864,True
17,197.36942545572916,0.019642045721411705,0.02168966643512249,0.9680129289627075,0.9673213362693787,481,22.329107105731964,True
19,201.8530527750651,0.0253899022936821,0.02764241211116314,0.9611678123474121,0.95804363489151,417,20.230291028817494,True
4,202.16961161295572,0.027174407616257668,0.02887670323252678,0.9722956418991089,0.970167338848114,407,19.739490362008414,True
10,203.0232187906901,0.05425119027495384,0.05553305149078369,0.9656206965446472,0.9655483365058899,596,23.265374771753947,True
8,205.56465657552084,0.01839684136211872,0.020334839820861816,0.9631601572036743,0.9632887840270996,182,9.35386065642039,True
16,206.85237630208334,0.025304948911070824,0.026895102113485336,0.9730490446090698,0.9725338816642761,601,26.24574199517568,True
12,209.80028279622397,0.015731381252408028,0.018653661012649536,0.9667139649391174,0.9650408625602722,220,13.751693936189016,True
11,210.15774536132812,0.014405570924282074,0.017145980149507523,0.9639174938201904,0.9630929231643677,434,20.796427778402965,True
3,212.59296162923178,0.02197308838367462,0.024941738694906235,0.9696515202522278,0.9702408313751221,220,17.74994914531708,True
7,213.99926249186197,0.020493565127253532,0.022042693570256233,0.9673046469688416,0.9653777480125427,417,15.062717016537984,True
9,216.8487548828125,0.024676164612174034,0.028395837172865868,0.9595659971237183,0.9602246284484863,391,14.43307821750641,True
13,217.3153839111328,0.017703518271446228,0.021982310339808464,0.9550043344497681,0.9618066549301147,327,17.494075735410053,True
5,217.76996358235678,0.024132180958986282,0.027505958452820778,0.9502378106117249,0.9539284110069275,259,13.865368433793385,True
2,222.21229044596353,0.018269501626491547,0.02117331698536873,0.9610010385513306,0.9600000977516174,268,19.420335030555727,True
15,231.0080108642578,0.028579238802194595,0.031377945095300674,0.9609928131103516,0.9594970941543579,113,10.283649667104084,True
20,231.98331197102866,0.01594708301126957,0.017881806939840317,0.9642178416252136,0.9637075662612915,195,12.926348157723744,True
1,234.9990488688151,0.024879587814211845,0.026731375604867935,0.9625489115715027,0.9602928161621094,198,11.57833146651586,True
