,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,IC,IC,IC,IC,IC,IC,IC,IC,RIC,RIC,RIC,RIC,RIC,RIC,RIC,RIC
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Dataset,,,,,,,,,,,,,,,,,,,,,,,,
SAMBA_DJI_20251012_011921,20.0,0.024543967703357338,0.01035140146682409,0.006841117050498724,0.019914545118808746,0.023492216132581234,0.02783076837658882,0.05553305149078369,20.0,0.964697515964508,0.006768590063937233,0.9502378106117249,0.9609989821910858,0.964067667722702,0.9684225767850876,0.977929413318634,20.0,0.9638995200395584,0.006485584455334788,0.9494982361793518,0.9601684957742691,0.9634981751441956,0.9680328369140625,0.9761649966239929
SAMBA_IXIC_20251012_110314,20.0,0.03641264904290438,0.025322903203914383,0.007777372375130653,0.01761450944468379,0.03129364922642708,0.04921735264360905,0.10580343753099442,20.0,0.8275000303983688,0.4165400161522498,-0.9201227426528931,0.9262092113494873,0.9414108395576477,0.9535476267337799,0.9643126130104065,20.0,0.8295259445905685,0.41640673894263613,-0.9239694476127625,0.9129813760519028,0.9381590485572815,0.954868882894516,0.9675359725952148
SAMBA_NYSE_20251012_145600,20.0,0.018374915514141322,0.0065699494384276035,0.00901038944721222,0.013529740739613771,0.017619202844798565,0.02234410122036934,0.032536204904317856,20.0,0.9597381174564361,0.02152695829143439,0.8730486035346985,0.9572304040193558,0.9645120203495026,0.9686347544193268,0.9761449694633484,20.0,0.9619060516357422,0.017106136814091233,0.8928537964820862,0.9608572721481323,0.9657849073410034,0.9688502550125122,0.9758942723274231
combined_dataframe_AAPL_raw_clean_20251103_011335,20.0,0.15269711283035575,0.23203505418949988,0.008021969348192215,0.018962305039167404,0.038296543061733246,0.09382718987762928,0.6185554265975952,20.0,0.6861345503479243,0.44577102414620046,-0.7420635223388672,0.6553936749696732,0.8842408359050751,0.9461414515972137,0.9712459444999695,20.0,0.6692712806165219,0.4327821964318855,-0.6261078715324402,0.640600748360157,0.8577558696269989,0.936933308839798,0.9683343172073364
combined_dataframe_ASX200_raw_clean_20251103_123149,20.0,0.03508957379963249,0.04954282575717547,0.007051902357488871,0.013530644355341792,0.02404265943914652,0.03171979682520032,0.23756876587867737,20.0,0.8566001586616039,0.2543848468596937,-0.20178450644016266,0.9087606966495514,0.9288147389888763,0.9401340931653976,0.9589802026748657,20.0,0.8540740087628365,0.2788368959252522,-0.3036610186100006,0.9162515103816986,0.9317761957645416,0.9425682872533798,0.9599969983100891
combined_dataframe_CNN_SP500_raw_clean_20251103_104020,20.0,0.06815259493887424,0.053353577023085776,0.023951223120093346,0.032318550162017345,0.05071787349879742,0.07954679057002068,0.23672132194042206,20.0,0.6710135042667389,0.04612700039797959,0.6025369167327881,0.6389787346124649,0.6642304360866547,0.6903541535139084,0.7755270600318909,20.0,0.6579882085323334,0.042525689695381085,0.5932078957557678,0.6295498907566071,0.6529451310634613,0.6779085844755173,0.7570475935935974
