Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
3,48.68704032897949,0.007994311861693859,0.010074947960674763,0.9398572444915771,0.9227982759475708,347,16.058668514092762,True
10,56.65603256225586,0.008015835657715797,0.010444744490087032,0.938182532787323,0.9599969983100891,862,17.766874519983926,True
4,63.69106674194336,0.01043886598199606,0.014343631453812122,0.9188090562820435,0.9362761378288269,353,16.276652280489603,True
9,64.14983940124512,0.005421204026788473,0.007051902357488871,0.9469749927520752,0.9337695837020874,407,10.153823554515839,True
20,73.77287673950195,0.022226816043257713,0.02347804792225361,0.9246507287025452,0.9158557057380676,282,8.332832006613414,True
17,74.35355758666992,0.04191551357507706,0.04240944981575012,0.9466155767440796,0.9368429183959961,327,8.744594490528106,True
13,76.39227294921875,0.008371629752218723,0.010204165242612362,0.9509320259094238,0.9451807141304016,209,6.865220065911611,True
19,83.05952072143555,0.018053175881505013,0.02460727095603943,-0.20178450644016266,-0.3036610186100006,460,11.075853542486827,True
16,86.12551498413086,0.047800011932849884,0.04847336187958717,0.9147733449935913,0.9384377002716064,319,8.72978060245514,True
12,92.67382049560547,0.02890077233314514,0.029503172263503075,0.9589802026748657,0.9490023255348206,371,9.574449364344279,True
5,95.50252914428711,0.01788765750825405,0.02590135484933853,0.7563267946243286,0.8988244533538818,214,12.188062715530396,True
8,100.33921813964844,0.02394947223365307,0.02535843476653099,0.9150351881980896,0.9297828078269958,231,7.480027715365092,True
2,102.73602294921875,0.036383964121341705,0.03836967051029205,0.7956918478012085,0.7102513313293457,526,21.346803824106853,True
7,105.31694412231445,0.055608589202165604,0.05654861032962799,0.8907227516174316,0.9289067983627319,382,17.034329823652904,True
15,105.63677978515625,0.027843063697218895,0.028835630044341087,0.9357644319534302,0.9416974782943726,580,13.066096389293671,True
6,111.55010604858398,0.01856156811118126,0.020031321793794632,0.9367179870605469,0.9527705907821655,285,14.272112214565277,True
18,120.69231796264648,0.01236572302877903,0.014249518513679504,0.9409646391868591,0.9467803835868835,173,6.133848881721496,True
1,136.49059677124023,0.020008128136396408,0.022963453084230423,0.920452356338501,0.9269222021102905,148,6.518486555417379,True
11,137.42354583740234,0.009389501065015793,0.011374021880328655,0.9329787492752075,0.9163834452629089,290,8.199546349048614,True
14,142.47203826904297,0.23703081905841827,0.23756876587867737,0.8693572282791138,0.7946613430976868,69,4.516215602556865,True
