Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
19,122.1294413975307,0.010349548421800137,0.013552351854741573,0.973042368888855,0.9744448661804199,1066,22.092927463849385,True
14,137.50006430489677,0.014457492157816887,0.017004629597067833,0.9580690860748291,0.9532092809677124,299,10.877132260799408,True
13,143.47543116978235,0.01448568794876337,0.017805323004722595,0.973730206489563,0.9721785187721252,708,19.770128432909647,True
4,143.89610072544642,0.01552667561918497,0.017736049368977547,0.9668681025505066,0.9639888405799866,599,17.17119679450989,True
9,144.723393031529,0.02029494196176529,0.023625649511814117,0.9620240330696106,0.9673382639884949,411,13.2806907137235,True
10,145.05068969726562,0.012751962058246136,0.015130321495234966,0.9652971625328064,0.9686985015869141,1090,23.86976597706477,True
5,146.87763105119978,0.018417004495859146,0.020948586985468864,0.9674215912818909,0.9659065008163452,247,9.635203913847606,True
11,147.67438180106026,0.017334582284092903,0.0194377638399601,0.9641093015670776,0.9631456732749939,483,14.858412027359009,True
2,148.75045558384485,0.013681390322744846,0.017330139875411987,0.9670027494430542,0.9652640223503113,996,30.829533024628958,True
12,150.46550859723772,0.014440799131989479,0.01742137037217617,0.9658191800117493,0.9624891877174377,314,11.17767528295517,True
7,153.55047825404577,0.031215842813253403,0.03420964628458023,0.9646927714347839,0.9689951539039612,924,23.900607828299204,True
15,153.7389133998326,0.024285877123475075,0.03017670102417469,0.934951663017273,0.9367985129356384,330,11.566969045003255,True
3,155.97102573939733,0.012057329528033733,0.015207446180284023,0.9698531031608582,0.9682411551475525,1052,30.873389848073323,True
17,157.88308606828963,0.022244248539209366,0.027007540687918663,0.9517917037010193,0.9530454277992249,347,12.715368560949962,True
20,158.325199672154,0.013426599092781544,0.016092374920845032,0.9672654271125793,0.9650916457176208,598,16.66327633857727,True
6,160.88163103376115,0.030383069068193436,0.03411351889371872,0.9545981884002686,0.9645249843597412,764,20.682702231407166,True
8,161.15714263916016,0.018454518169164658,0.022782597690820694,0.9594271183013916,0.9568036794662476,145,7.495617532730103,True
1,162.33074297223772,0.012434893287718296,0.014890724793076515,0.9713510870933533,0.9687760472297668,533,20.274624264240266,True
16,165.03583090645927,0.014936176128685474,0.018614305183291435,0.9675130248069763,0.9645625948905945,666,18.752899368604023,True
18,165.92147391183036,0.010003393515944481,0.012474292889237404,0.965359628200531,0.9611605405807495,969,25.49256413380305,True
