,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,IC,IC,IC,IC,IC,IC,IC,IC,RIC,RIC,RIC,RIC,RIC,RIC,RIC,RIC
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Dataset,,,,,,,,,,,,,,,,,,,,,,,,
DJI,20.0,0.028137554577551783,0.013423621851366559,0.006894707214087248,0.01985762594267726,0.028761991299688816,0.03372202720493078,0.06252424418926239,20.0,0.9597100406885147,0.011518502260249032,0.932592511177063,0.9538013637065887,0.9633719623088837,0.9678261131048203,0.9752419590950012,20.0,0.9604618459939956,0.010941667545787126,0.9338027238845825,0.9576632380485535,0.9627802968025208,0.9668988883495331,0.9743929505348206
IXIC,20.0,0.04983459305949509,0.026653596638739476,0.007913243025541306,0.02161659672856331,0.05545089207589626,0.07117362506687641,0.09440439194440842,20.0,0.9116553097963334,0.04171303768023714,0.794931173324585,0.8899123072624207,0.9193176329135895,0.9471901655197144,0.9530496001243591,20.0,0.9083974301815033,0.043038841608480566,0.8119366765022278,0.8833694905042648,0.9146643280982971,0.9407795518636703,0.958202600479126
NYSE,20.0,0.02027806672267616,0.006469405657265574,0.012474292889237404,0.01587114273570478,0.01777068618685007,0.02299336064606905,0.03420964628458023,20.0,0.9635093748569489,0.008767298509492451,0.934951663017273,0.9613748043775558,0.9655894041061401,0.9674444496631622,0.973730206489563,20.0,0.9632331699132919,0.008301660996124937,0.9367985129356384,0.9621570259332657,0.9648271203041077,0.9683554917573929,0.9744448661804199
